transaction_date,name,type,notional,trade_price
2021-08-02,Asset453,BUY,1500000.0,98.02
2021-08-02,Asset376,SELL,2000000.0,98.01
2021-08-02,Asset297,BUY,1000000.0,98.04
2021-08-02,Asset388,BUY,1500000.0,97.97
2021-08-02,Asset101,BUY,1500000.0,98.05
2021-08-02,Asset149,SELL,1000000.0,98.02
2021-08-02,Asset487,BUY,1000000.0,98.05
2021-08-02,Asset227,BUY,1000000.0,98.03
2021-08-02,Asset325,BUY,2000000.0,97.99
2021-08-02,Asset112,SELL,1000000.0,97.96
2021-08-02,,SELL,250000.0,98.01
2021-08-02,Asset352,BUY,3000000.0,98.06
2021-08-02,,SELL,1000000.0,98.0
2021-08-02,Asset454,SELL,1000000.0,98.02
2021-08-02,Asset17,BUY,1000000.0,98.05
2021-08-02,Asset498,SELL,1000000.0,98.03
2021-08-02,Asset361,SELL,1500000.0,98.0
2021-08-02,Asset318,BUY,1500000.0,98.03
2021-08-02,Asset414,SELL,2000000.0,97.99
2021-08-02,Asset316,BUY,3500000.0,98.01
2021-08-02,Asset428,BUY,1000000.0,98.03
2021-08-02,Asset388,SELL,1000000.0,97.99
2021-08-02,Asset37,BUY,1500000.0,98.01
2021-08-02,Asset307,BUY,1000000.0,98.03
2021-08-02,Asset447,SELL,2000000.0,98.02
2021-08-02,Asset366,SELL,1500000.0,98.02
,Asset439,BUY,1500000.0,98.03
2021-08-02,Asset24,SELL,1500000.0,98.04
2021-08-02,Asset404,SELL,1000000.0,98.02
2021-08-02,Asset10,BUY,250000.0,98.07
2021-08-02,,SELL,2000000.0,98.01
2021-08-02,Asset102,SELL,3000000.0,98.01
2021-08-02,Asset136,SELL,1000000.0,98.03
2021-08-02,Asset161,SELL,1000000.0,98.04
2021-08-02,Asset60,SELL,1000000.0,98.01
,Asset34,SELL,3500000.0,98.04
2021-08-02,Asset393,BUY,1500000.0,97.99
2021-08-02,Asset119,BUY,500000.0,98.03
2021-08-02,Asset151,SELL,1000000.0,98.03
2021-08-02,,BUY,1500000.0,98.04
